bridge,seed,method,macro_edge_f1,family_mean_edge_precision,family_mean_edge_recall,family_mean_split_exact,family_mean_merge_exact,family_mean_overall_exact,n_pred_edges_total,mean_edges_per_family
Poly,412,CONDITIONAL_UOT,0.43394676949727257,0.3703703703703703,0.5291914682539682,0.0,0.0,0.0,423,17.625
Poly,412,SUPPORT_PLUS_K,0.4695370472750504,0.40046296296296297,0.5728422619047618,0.0,0.0,0.0,423,17.625
Poly,412,HUNGARIAN_1TO1,0.47662990944240935,0.48214285714285704,0.4728587962962963,0.0,0.0,0.0,289,12.041666666666666
Poly,412,THRESHOLD_MM,0.10354456018518517,0.06259920634920635,0.30744047619047615,0.0,0.0,0.0,593,24.708333333333332
Poly,412,DUAL_SOFTMAX,0.25953930328930325,0.9583333333333334,0.15043816137566135,0.0,0.0,0.0,47,1.9583333333333333
Poly,413,UOT_KR,0.449187383286648,0.39351851851851843,0.5326140873015873,0.0,0.0,0.0,432,18.0
Poly,413,RAW_UOT_PLAN,0.12009949813258636,0.10648148148148147,0.14050099206349206,0.0,0.0,0.0,432,18.0
Poly,413,CONDITIONAL_UOT,0.438249883286648,0.38425925925925924,0.5192212301587301,0.0,0.0,0.0,432,18.0
Poly,413,SUPPORT_PLUS_K,0.449187383286648,0.39351851851851843,0.5326140873015873,0.0,0.0,0.0,432,18.0
Poly,413,HUNGARIAN_1TO1,0.4014295889295889,0.4131944444444444,0.39347718253968256,0.0,0.0,0.0,288,12.0
Poly,413,THRESHOLD_MM,0.10328394953394952,0.0625,0.3039434523809524,0.0,0.0,0.0,618,25.75
Poly,413,DUAL_SOFTMAX,0.2561240842490842,1.0,0.1474454365079365,0.0,0.0,0.0,48,2.0
Poly,414,UOT_KR,0.44403011204481785,0.39351851851851843,0.519694715007215,0.0,0.0,0.0,432,18.0
Poly,414,RAW_UOT_PLAN,0.11940553999377529,0.10648148148148147,0.1385920214045214,0.0,0.0,0.0,423,17.625
Poly,414,CONDITIONAL_UOT,0.40720413165266106,0.3606481481481481,0.47765602453102446,0.0,0.0,0.0,433,18.041666666666668
Poly,414,SUPPORT_PLUS_K,0.44403011204481785,0.39351851851851843,0.519694715007215,0.0,0.0,0.0,432,18.0
Poly,414,HUNGARIAN_1TO1,0.351636979578156,0.3645833333333333,0.3430811087061087,0.0,0.0,0.0,293,12.208333333333334
Poly,414,THRESHOLD_MM,0.10918606578490299,0.0662202380952381,0.31646825396825395,0.0,0.0,0.0,712,29.666666666666668
Poly,414,DUAL_SOFTMAX,0.2504858567358567,1.0,0.1438003547378547,0.0,0.0,0.0,48,2.0
Poly,415,UOT_KR,0.4774276377217554,0.40972222222222215,0.5783730158730158,0.0,0.0,0.0,432,18.0
Poly,415,RAW_UOT_PLAN,0.12303143479614066,0.10648148148148147,0.1476521164021164,0.0,0.0,0.0,432,18.0
Poly,415,CONDITIONAL_UOT,0.46301791549953314,0.39745370370370364,0.5610119047619048,0.0,0.0,0.0,433,18.041666666666668
Poly,415,SUPPORT_PLUS_K,0.4774276377217554,0.40972222222222215,0.5783730158730158,0.0,0.0,0.0,432,18.0
Poly,415,HUNGARIAN_1TO1,0.468030118030118,0.4756944444444444,0.4626322751322751,0.0,0.0,0.0,288,12.0
Poly,415,THRESHOLD_MM,0.10368218278101998,0.0625,0.3103918650793651,0.0,0.0,0.0,612,25.5
Poly,415,DUAL_SOFTMAX,0.2671906796906797,1.0,0.15459656084656084,0.0,0.0,0.0,48,2.0
Poly,416,UOT_KR,0.454593361467394,0.3981481481481481,0.5402056277056277,0.0,0.0,0.0,432,18.0
Poly,416,RAW_UOT_PLAN,0.12282741678542762,0.10879629629629628,0.14418891293891292,0.0,0.0,0.0,432,18.0
Poly,416,CONDITIONAL_UOT,0.4434822503562828,0.38888888888888884,0.5263167388167388,0.0,0.0,0.0,432,18.0
Poly,416,SUPPORT_PLUS_K,0.454593361467394,0.3981481481481481,0.5402056277056277,0.0,0.0,0.0,432,18.0
