bridge,seed,template_id,truth_side,representation_side
Celer,418,eth_flow_c37f893580bd43__r7fam11__inst00,1,1
Celer,418,eth_flow_c4acdc4940c043__r7fam02__inst01,1,1
Celer,418,eth_flow_ce3d5524dab947__r7fam01__inst00,1,1
Celer,418,eth_flow_cf527744255e4c__r7fam21__inst01,1,1
Celer,418,eth_flow_d5d89623637e44__r7fam03__inst00,1,1
Celer,418,eth_flow_ddbdc0fa2f8440__r7fam19__inst00,1,1
Celer,418,eth_flow_dfa16e75620949__r7fam09__inst01,1,1
Celer,418,eth_flow_dfa590b562c247__r7fam21__inst00,1,1
Celer,418,eth_flow_e203c69be68547__r7fam11__inst01,1,1
Celer,418,eth_flow_e55ad3097ab24c__r7fam00__inst00,1,1
Celer,418,eth_flow_eba2575f7aa348__r7fam05__inst00,1,1
Celer,418,eth_flow_ed0faf34303649__r7fam14__inst01,1,1
Celer,418,eth_flow_f37b109153cf42__r7fam20__inst01,1,1
Celer,418,eth_flow_f66f2b82d8034c__r7fam12__inst00,1,1
